time=2026-09-10T22:03:01.026-05:00 level=INFO msg="cleanup: killed chrome process" pid=22800
time=2026-09-10T22:03:01.686-05:00 level=INFO msg="cleanup: killed orphaned chrome processes" count=1 profileDir=C:\Users\edwin\AppData\Roaming\pinchtab\profiles\default
time=2026-09-10T22:03:01.749-05:00 level=INFO msg=orchestration strategy=always-on allocation=fcfs
time=2026-09-10T22:03:01.751-05:00 level=INFO msg="dashboard started" port=9867
time=2026-09-10T22:03:01.758-05:00 level=INFO msg="starting instance process" id=inst_6caad0cd profile=default port=9868
time=2026-09-10T23:07:28.691-05:00 level=INFO msg=request requestId=d181b417c576d77a method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/find status=200 ms=6522
time=2026-09-10T23:07:40.901-05:00 level=INFO msg=request requestId=3e4cc9109beaa0b1 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=6
time=2026-09-10T23:07:44.445-05:00 level=INFO msg=request requestId=208cc1b18f044086 method=GET path=/text status=200 ms=3472
time=2026-09-10T23:21:13.307-05:00 level=INFO msg=request requestId=24b3603d6e4e8dee method=POST path=/audit status=200 ms=3844
time=2026-09-10T23:21:22.244-05:00 level=INFO msg=request requestId=4074992770134e1c method=POST path=/audit status=200 ms=2927
time=2026-09-10T23:21:41.202-05:00 level=INFO msg=request requestId=94b748b898c743a8 method=POST path=/audit status=200 ms=11268
time=2026-09-11T00:12:40.138-05:00 level=INFO msg=request requestId=ddb188125462ed00 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=13
time=2026-09-11T00:12:40.286-05:00 level=INFO msg=request requestId=e271986227a1adc4 method=GET path=/health status=200 ms=46
time=2026-09-11T00:12:41.155-05:00 level=INFO msg=request requestId=f48b52b1a0f854a2 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=868
time=2026-09-11T00:12:52.690-05:00 level=INFO msg=request requestId=018999e8263aaab5 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=1
time=2026-09-11T00:12:52.779-05:00 level=INFO msg=request requestId=7374c61365a8fa01 method=GET path=/errors status=200 ms=0
time=2026-09-11T00:12:56.854-05:00 level=INFO msg=request requestId=fcba232dbef69012 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-11T00:13:00.423-05:00 level=INFO msg=request requestId=60972df966393bc8 method=GET path=/text status=200 ms=3482
time=2026-09-11T00:24:38.798-05:00 level=INFO msg=request requestId=2169a37dc493ebd8 method=POST path=/audit status=200 ms=2644
time=2026-09-11T00:24:42.976-05:00 level=INFO msg=request requestId=d0c14dd394c931a4 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=6
time=2026-09-11T00:24:43.092-05:00 level=INFO msg=request requestId=b506e0dcca9ece2c method=GET path=/health status=200 ms=30
time=2026-09-11T00:24:44.743-05:00 level=INFO msg=request requestId=6c60790d07985fbc method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1649
time=2026-09-11T00:24:54.625-05:00 level=INFO msg=request requestId=9b99a5f0f48c9fd7 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=23
time=2026-09-11T00:24:54.762-05:00 level=INFO msg=request requestId=06fe2ac1d6df8baf method=GET path=/errors status=200 ms=0
time=2026-09-11T00:24:59.529-05:00 level=INFO msg=request requestId=f421f22473080148 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=7
time=2026-09-11T00:25:00.297-05:00 level=INFO msg=request requestId=5edfc351fedbb43c method=GET path=/text status=200 ms=662
time=2026-09-11T00:56:42.471-05:00 level=INFO msg=request requestId=a31127e58558836d method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=42
time=2026-09-11T00:56:42.687-05:00 level=INFO msg=request requestId=c4cb054f94aec3f3 method=GET path=/health status=200 ms=63
time=2026-09-11T00:56:43.620-05:00 level=INFO msg=request requestId=f9a51133531977d3 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=930
time=2026-09-11T00:56:57.262-05:00 level=INFO msg=request requestId=0514cc593932503d method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=4
time=2026-09-11T00:56:57.370-05:00 level=INFO msg=request requestId=46087abac34ce8f9 method=GET path=/errors status=200 ms=0
time=2026-09-11T00:57:03.275-05:00 level=INFO msg=request requestId=70c16bfa79b16277 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=11
time=2026-09-11T00:57:07.464-05:00 level=INFO msg=request requestId=7a96b51057f2e570 method=GET path=/capture status=200 ms=4058
time=2026-09-11T11:53:12.304-05:00 level=INFO msg=request requestId=fe31d98a0e5b0aa0 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=11
time=2026-09-11T11:53:12.497-05:00 level=INFO msg=request requestId=cb20a60448e2d95d method=GET path=/health status=200 ms=27
time=2026-09-11T11:53:15.185-05:00 level=INFO msg=request requestId=fe15ccbc4952b560 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=2684
time=2026-09-11T11:53:58.134-05:00 level=INFO msg=request requestId=53c9e7b5bc3da9a8 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=11
time=2026-09-11T11:53:58.277-05:00 level=INFO msg=request requestId=8e3e1ad3f14990f2 method=GET path=/health status=200 ms=45
time=2026-09-11T11:53:59.210-05:00 level=INFO msg=request requestId=9a59450bec08fe89 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=931
time=2026-09-11T11:54:10.717-05:00 level=INFO msg=request requestId=8db9c237ec0f54f3 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=2
time=2026-09-11T11:54:10.802-05:00 level=INFO msg=request requestId=1376e3b45e7015a9 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=12
time=2026-09-11T11:54:18.054-05:00 level=INFO msg=request requestId=fcaf572e66a95cdd method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=3
time=2026-09-11T11:54:18.135-05:00 level=INFO msg=request requestId=a8298b1334783b5a method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=7
time=2026-09-11T12:13:07.177-05:00 level=INFO msg=request requestId=7219fa3af3695d6b method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=28
time=2026-09-11T12:13:07.290-05:00 level=INFO msg=request requestId=7097228eced40001 method=GET path=/health status=200 ms=37
time=2026-09-11T12:13:08.970-05:00 level=INFO msg=request requestId=2109b5b865ff2e51 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/navigate status=200 ms=1679
time=2026-09-11T12:13:20.404-05:00 level=INFO msg=request requestId=885b95f66bb68aab method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=7
time=2026-09-11T12:13:20.817-05:00 level=INFO msg=request requestId=60df142efbc8d779 method=GET path=/snapshot status=200 ms=279
time=2026-09-11T12:13:40.419-05:00 level=INFO msg=request requestId=d44eae34bbcb5303 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-11T12:13:40.924-05:00 level=INFO msg=request requestId=68555e633e8609a6 method=GET path=/snapshot status=200 ms=366
time=2026-09-11T12:14:25.229-05:00 level=INFO msg=request requestId=896b57dc807ec063 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=6
time=2026-09-11T12:14:25.577-05:00 level=INFO msg=request requestId=f6cd697eb4a8106e method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=210
time=2026-09-11T12:14:33.093-05:00 level=INFO msg=request requestId=4ff17405b454ca07 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=12
time=2026-09-11T12:14:33.578-05:00 level=INFO msg=request requestId=7ffd4d37d5a12d24 method=GET path=/snapshot status=200 ms=392
time=2026-09-11T12:15:24.942-05:00 level=INFO msg=request requestId=c98dfe411ea5ae67 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=9
time=2026-09-11T12:15:25.117-05:00 level=INFO msg=request requestId=8a3aec92944ed7b7 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=55
time=2026-09-11T12:15:36.545-05:00 level=INFO msg=request requestId=942e7b76f87e0222 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=15
time=2026-09-11T12:15:36.899-05:00 level=INFO msg=request requestId=3b6a5c542ff9bdc3 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=94
time=2026-09-11T12:15:44.930-05:00 level=INFO msg=request requestId=87708a136cd5a6f0 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=9
time=2026-09-11T12:15:45.266-05:00 level=INFO msg=request requestId=a61106626cbfd1a0 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=200 ms=85
time=2026-09-11T12:15:53.577-05:00 level=INFO msg=request requestId=4cda1b57b3ac56ac method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=15
time=2026-09-11T12:15:54.025-05:00 level=ERROR msg=request requestId=2116a0fbc3db6795 method=POST path=/tabs/21C57C672AF84C773FEF7B08B747B461/action status=500 ms=239 code=action_failed error="action click: element is occluded: top=div"
time=2026-09-11T12:16:16.103-05:00 level=INFO msg=request requestId=e79d7658d44dd1d5 method=GET path=/tabs/21C57C672AF84C773FEF7B08B747B461/title status=200 ms=7
time=2026-09-11T12:16:16.271-05:00 level=INFO msg=request requestId=63d94fb28b170691 method=GET path=/url status=200 ms=1
